99AA04-1221-0838	
This data is for reference only	
250	0.9605
251	0.9582
252	0.9604
253	0.9619
254	0.9624
255	0.9629
256	0.9623
257	0.9619
258	0.9620
259	0.9609
260	0.9624
261	0.9629
262	0.9641
263	0.9640
264	0.9644
265	0.9651
266	0.9639
267	0.9652
268	0.9659
269	0.9650
270	0.9642
271	0.9658
272	0.9660
273	0.9663
274	0.9669
275	0.9661
276	0.9667
277	0.9680
278	0.9686
279	0.9687
280	0.9685
281	0.9681
282	0.9689
283	0.9691
284	0.9701
285	0.9713
286	0.9711
287	0.9712
288	0.9715
289	0.9715
290	0.9716
291	0.9734
292	0.9739
293	0.9739
294	0.9738
295	0.9741
296	0.9749
297	0.9754
298	0.9746
299	0.9751
300	0.9751
301	0.9750
302	0.9754
303	0.9748
304	0.9752
305	0.9769
306	0.9774
307	0.9774
308	0.9774
309	0.9768
310	0.9778
311	0.9787
312	0.9788
313	0.9788
314	0.9781
315	0.9778
316	0.9787
317	0.9795
318	0.9802
319	0.9800
320	0.9768
321	0.9744
322	0.9764
323	0.9781
324	0.9787
325	0.9797
326	0.9792
327	0.9772
328	0.9773
329	0.9775
330	0.9791
331	0.9787
332	0.9789
333	0.9807
334	0.9814
335	0.9809
336	0.9807
337	0.9799
338	0.9795
339	0.9807
340	0.9805
341	0.9798
342	0.9794
343	0.9776
344	0.9789
345	0.9812
346	0.9811
347	0.9797
348	0.9798
349	0.9806
350	0.9824
351	0.9826
352	0.9811
353	0.9830
354	0.9829
355	0.9812
356	0.9810
357	0.9808
358	0.9820
359	0.9843
360	0.9824
361	0.9812
362	0.9826
363	0.9813
364	0.9814
365	0.9825
366	0.9835
367	0.9818
368	0.9818
369	0.9830
370	0.9828
371	0.9802
372	0.9817
373	0.9844
374	0.9845
375	0.9825
376	0.9844
377	0.9840
378	0.9826
379	0.9846
380	0.9865
381	0.9865
382	0.9863
383	0.9868
384	0.9868
385	0.9867
386	0.9865
387	0.9863
388	0.9867
389	0.9866
390	0.9863
391	0.9869
392	0.9870
393	0.9873
394	0.9873
395	0.9875
396	0.9872
397	0.9870
398	0.9867
399	0.9871
400	0.9874
401	0.9874
402	0.9876
403	0.9874
404	0.9880
405	0.9882
406	0.9880
407	0.9872
408	0.9876
409	0.9875
410	0.9873
411	0.9876
412	0.9874
413	0.9870
414	0.9870
415	0.9871
416	0.9870
417	0.9871
418	0.9867
419	0.9871
420	0.9868
421	0.9871
422	0.9872
423	0.9868
424	0.9871
425	0.9864
426	0.9869
427	0.9864
428	0.9865
429	0.9867
430	0.9866
431	0.9862
432	0.9864
433	0.9865
434	0.9866
435	0.9862
436	0.9862
437	0.9861
438	0.9863
439	0.9858
440	0.9865
441	0.9859
442	0.9850
443	0.9850
444	0.9848
445	0.9852
446	0.9851
447	0.9853
448	0.9860
449	0.9861
450	0.9858
451	0.9858
452	0.9858
453	0.9861
454	0.9860
455	0.9862
456	0.9862
457	0.9865
458	0.9868
459	0.9865
460	0.9866
461	0.9869
462	0.9869
463	0.9872
464	0.9874
465	0.9875
466	0.9879
467	0.9885
468	0.9882
469	0.9883
470	0.9888
471	0.9883
472	0.9888
473	0.9890
474	0.9894
475	0.9894
476	0.9898
477	0.9906
478	0.9910
479	0.9909
480	0.9908
481	0.9902
482	0.9897
483	0.9889
484	0.9879
485	0.9868
486	0.9854
487	0.9850
488	0.9843
489	0.9837
490	0.9835
491	0.9833
492	0.9831
493	0.9833
494	0.9835
495	0.9834
496	0.9833
497	0.9835
498	0.9837
499	0.9843
500	0.9849
501	0.9849
502	0.9851
503	0.9857
504	0.9859
505	0.9862
506	0.9865
507	0.9866
508	0.9868
509	0.9869
510	0.9875
511	0.9881
512	0.9879
513	0.9880
514	0.9881
515	0.9884
516	0.9887
517	0.9890
518	0.9890
519	0.9892
520	0.9890
521	0.9890
522	0.9893
523	0.9893
524	0.9896
525	0.9895
526	0.9896
527	0.9895
528	0.9893
529	0.9895
530	0.9896
531	0.9894
532	0.9893
533	0.9896
534	0.9898
535	0.9897
536	0.9895
537	0.9895
538	0.9892
539	0.9891
540	0.9893
541	0.9892
542	0.9888
543	0.9890
544	0.9892
545	0.9888
546	0.9884
547	0.9883
548	0.9882
549	0.9880
550	0.9881
551	0.9878
552	0.9878
553	0.9878
554	0.9877
555	0.9875
556	0.9872
557	0.9870
558	0.9869
559	0.9871
560	0.9869
561	0.9869
562	0.9860
563	0.9853
564	0.9856
565	0.9859
566	0.9861
567	0.9861
568	0.9863
569	0.9868
570	0.9869
571	0.9869
572	0.9869
573	0.9871
574	0.9872
575	0.9874
576	0.9876
577	0.9878
578	0.9879
579	0.9878
580	0.9877
581	0.9879
582	0.9879
583	0.9877
584	0.9879
585	0.9882
586	0.9883
587	0.9883
588	0.9884
589	0.9883
590	0.9881
591	0.9881
592	0.9880
593	0.9879
594	0.9878
595	0.9880
596	0.9879
597	0.9880
598	0.9882
599	0.9881
600	0.9880
601	0.9882
602	0.9882
603	0.9883
604	0.9883
605	0.9883
606	0.9883
607	0.9883
608	0.9884
609	0.9881
610	0.9881
611	0.9883
612	0.9883
613	0.9882
614	0.9882
615	0.9883
616	0.9885
617	0.9884
618	0.9883
619	0.9882
620	0.9885
621	0.9885
622	0.9880
623	0.9879
624	0.9881
625	0.9881
626	0.9879
627	0.9877
628	0.9882
629	0.9880
630	0.9879
631	0.9880
632	0.9880
633	0.9880
634	0.9880
635	0.9883
636	0.9881
637	0.9880
638	0.9881
639	0.9880
640	0.9881
641	0.9883
642	0.9881
643	0.9882
644	0.9882
645	0.9883
646	0.9882
647	0.9881
648	0.9882
649	0.9882
650	0.9880
651	0.9880
652	0.9884
653	0.9882
654	0.9879
655	0.9884
656	0.9881
657	0.9880
658	0.9882
659	0.9884
660	0.9879
661	0.9877
662	0.9881
663	0.9879
664	0.9883
665	0.9882
666	0.9879
667	0.9880
668	0.9883
669	0.9880
670	0.9879
671	0.9880
672	0.9880
673	0.9880
674	0.9882
675	0.9880
676	0.9884
677	0.9881
678	0.9878
679	0.9879
680	0.9878
681	0.9880
682	0.9881
683	0.9882
684	0.9882
685	0.9880
686	0.9879
687	0.9877
688	0.9880
689	0.9877
690	0.9872
691	0.9869
692	0.9871
693	0.9872
694	0.9870
695	0.9873
696	0.9871
697	0.9869
698	0.9868
699	0.9870
700	0.9869
701	0.9871
702	0.9872
703	0.9868
704	0.9871
705	0.9868
706	0.9870
707	0.9869
708	0.9867
709	0.9865
710	0.9864
711	0.9872
712	0.9869
713	0.9866
714	0.9867
715	0.9866
716	0.9871
717	0.9869
718	0.9866
719	0.9871
720	0.9869
721	0.9870
722	0.9871
723	0.9872
724	0.9871
725	0.9868
726	0.9868
727	0.9871
728	0.9872
729	0.9865
730	0.9864
731	0.9868
732	0.9865
733	0.9866
734	0.9870
735	0.9872
736	0.9869
737	0.9868
738	0.9871
739	0.9864
740	0.9869
741	0.9868
742	0.9868
743	0.9870
744	0.9869
745	0.9870
746	0.9869
747	0.9868
748	0.9865
749	0.9868
750	0.9868
751	0.9865
752	0.9868
753	0.9869
754	0.9867
755	0.9864
756	0.9861
757	0.9860
758	0.9865
759	0.9867
760	0.9867
761	0.9870
762	0.9868
763	0.9868
764	0.9868
765	0.9868
766	0.9868
767	0.9872
768	0.9865
769	0.9864
770	0.9868
771	0.9865
772	0.9863
773	0.9862
774	0.9865
